detector	lam_band0	lam_band1	lam_band2	lam_band3	lam_band4	lam_band5	lam_band6	lam_band7	lam_band8	lam_band9	lam_band10	lam_band11	lam_band12	lam_band13	lam_band14
48	412.8760389	442.7457431	490.0716006	510.0100578	559.8867077	619.7961490	664.7693135	681.0183238	708.5269427	753.5694554	761.7059387	778.6082759	865.0753969	885.1436593	900.1996770
49	412.8746515	442.7443556	490.0702131	510.0086704	559.8853202	619.7947616	664.7679261	681.0169363	708.5255552	753.5680679	761.7045512	778.6068884	865.0740095	885.1422718	900.1982895
50	412.8732640	442.7429682	490.0688257	510.0072829	559.8839328	619.7933741	664.7665386	681.0155488	708.5241677	753.5666805	761.7031637	778.6055010	865.0726220	885.1408844	900.1969021
51	412.8718765	442.7415807	490.0674382	510.0058954	559.8825453	619.7919866	664.7651511	681.0141613	708.5227802	753.5652930	761.7017763	778.6041135	865.0712345	885.1394969	900.1955146
52	412.8704890	442.7401932	490.0660507	510.0045080	559.8811578	619.7905992	664.7637637	681.0127739	708.5213928	753.5639055	761.7003888	778.6027260	865.0698471	885.1381094	900.1941271
53	412.8691016	442.7388058	490.0646632	510.0031205	559.8797704	619.7892117	664.7623762	681.0113864	708.5200053	753.5625180	761.6990013	778.6013386	865.0684596	885.1367219	900.1927397
54	412.8677141	442.7374183	490.0632758	510.0017330	559.8783829	619.7878242	664.7609887	681.0099989	708.5186178	753.5611306	761.6976138	778.5999511	865.0670721	885.1353345	900.1913522
55	412.8663266	442.7360308	490.0618883	510.0003455	559.8769954	619.7864367	664.7596012	681.0086115	708.5172304	753.5597431	761.6962264	778.5985636	865.0656846	885.1339470	900.1899647
56	412.8649392	442.7346434	490.0605008	509.9989581	559.8756080	619.7850493	664.7582138	681.0072240	708.5158429	753.5583556	761.6948389	778.5971761	865.0642972	885.1325595	900.1885773
57	412.8635517	442.7332559	490.0591134	509.9975706	559.8742205	619.7836618	664.7568263	681.0058365	708.5144554	753.5569682	761.6934514	778.5957887	865.0629097	885.1311721	900.1871898
58	412.8621642	442.7318684	490.0577259	509.9961831	559.8728330	619.7822743	664.7554388	681.0044491	708.5130680	753.5555807	761.6920640	778.5944012	865.0615222	885.1297846	900.1858023
59	412.8607768	442.7304809	490.0563384	509.9947957	559.8714455	619.7808869	664.7540514	681.0030616	708.5116805	753.5541932	761.6906765	778.5930137	865.0601348	885.1283971	900.1844148
60	412.8593893	442.7290935	490.0549510	509.9934082	559.8700581	619.7794994	664.7526639	681.0016741	708.5102930	753.5528058	761.6892890	778.5916263	865.0587473	885.1270097	900.1830274
61	412.8580018	442.7277060	490.0535635	509.9920207	559.8686706	619.7781119	664.7512764	681.0002866	708.5089055	753.5514183	761.6879016	778.5902388	865.0573598	885.1256222	900.1816399
62	412.8566144	442.7263185	490.0521760	509.9906333	559.8672831	619.7767245	664.7498890	680.9988992	708.5075181	753.5500308	761.6865141	778.5888513	865.0559724	885.1242347	900.1802524
63	412.8552269	442.7249311	490.0507885	509.9892458	559.8658957	619.7753370	664.7485015	680.9975117	708.5061306	753.5486433	761.6851266	778.5874639	865.0545849	885.1228472	900.1788650
64	412.8538394	442.7235436	490.0494011	509.9878583	559.8645082	619.7739495	664.7471140	680.9961242	708.5047431	753.5472559	761.6837391	778.5860764	865.0531974	885.1214598	900.1774775
65	412.8524519	442.7221561	490.0480136	509.9864708	559.8631207	619.7725620	664.7457265	680.9947368	708.5033557	753.5458684	761.6823517	778.5846889	865.0518099	885.1200723	900.1760900
66	412.8510645	442.7207687	490.0466261	509.9850834	559.8617333	619.7711746	664.7443391	680.9933493	708.5019682	753.5444809	761.6809642	778.5833014	865.0504225	885.1186848	900.1747026
67	412.8496770	442.7193812	490.0452387	509.9836959	559.8603458	619.7697871	664.7429516	680.9919618	708.5005807	753.5430935	761.6795767	778.5819140	865.0490350	885.1172974	900.1733151
68	412.8482895	442.7179937	490.0438512	509.9823084	559.8589583	619.7683996	664.7415641	680.9905744	708.4991933	753.5417060	761.6781893	778.5805265	865.0476475	885.1159099	900.1719276
69	412.8469021	442.7166062	490.0424637	509.9809210	559.8575708	619.7670122	664.7401767	680.9891869	708.4978058	753.5403185	761.6768018	778.5791390	865.0462601	885.1145224	900.1705401
70	412.8455146	442.7152188	490.0410763	509.9795335	559.8561834	619.7656247	664.7387892	680.9877994	708.4964183	753.5389311	761.6754143	778.5777516	865.0448726	885.1131350	900.1691527
71	412.8441271	442.7138313	490.0396888	509.9781460	559.8547959	619.7642372	664.7374017	680.9864119	708.4950308	753.5375436	761.6740269	778.5763641	865.0434851	885.1117475	900.1677652
72	412.8427396	442.7124438	490.0383013	509.9767586	559.8534084	619.7628498	664.7360143	680.9850245	708.4936434	753.5361561	761.6726394	778.5749766	865.0420977	885.1103600	900.1663777
73	412.8413522	442.7110564	490.0369138	509.9753711	559.8520210	619.7614623	664.7346268	680.9836370	708.4922559	753.5347686	761.6712519	778.5735892	865.0407102	885.1089725	900.1649903
74	412.8399647	442.7096689	490.0355264	509.9739836	559.8506335	619.7600748	664.7332393	680.9822495	708.4908684	753.5333812	761.6698644	778.5722017	865.0393227	885.1075851	900.1636028
75	412.8385772	442.7082814	490.0341389	509.9725961	559.8492460	619.7586873	664.7318518	680.9808621	708.4894810	753.5319937	761.6684770	778.5708142	865.0379352	885.1061976	900.1622153
76	412.8371898	442.7068940	490.0327514	509.9712087	559.8478586	619.7572999	664.7304644	680.9794746	708.4880935	753.5306062	761.6670895	778.5694267	865.0365478	885.1048101	900.1608279
77	412.8358023	442.7055065	490.0313640	509.9698212	559.8464711	619.7559124	664.7290769	680.9780871	708.4867060	753.5292188	761.6657020	778.5680393	865.0351603	885.1034227	900.1594404
78	412.8344148	442.7041190	490.0299765	509.9684337	559.8450836	619.7545249	664.7276894	680.9766997	708.4853186	753.5278313	761.6643146	778.5666518	865.0337728	885.1020352	900.1580529
79	412.8330274	442.7027315	490.0285890	509.9670463	559.8436961	619.7531375	664.7263020	680.9753122	708.4839311	753.5264438	761.6629271	778.5652643	865.0323854	885.1006477	900.1566654
80	412.8316399	442.7013441	490.0272016	509.9656588	559.8423087	619.7517500	664.7249145	680.9739247	708.4825436	753.5250564	761.6615396	778.5638769	865.0309979	885.0992603	900.1552780
81	412.8302524	442.6999566	490.0258141	509.9642713	559.8409212	619.7503625	664.7235270	680.9725372	708.4811561	753.5236689	761.6601522	778.5624894	865.0296104	885.0978728	900.1538905
82	412.8288649	442.6985691	490.0244266	509.9628839	559.8395337	619.7489751	664.7221396	680.9711498	708.4797687	753.5222814	761.6587647	778.5611019	865.0282230	885.0964853	900.1525030
83	412.8274775	442.6971817	490.0230391	509.9614964	559.8381463	619.7475876	664.7207521	680.9697623	708.4783812	753.5208939	761.6573772	778.5597145	865.0268355	885.0950978	900.1511156
84	412.8260900	442.6957942	490.0216517	509.9601089	559.8367588	619.7462001	664.7193646	680.9683748	708.4769937	753.5195065	761.6559897	778.5583270	865.0254480	885.0937104	900.1497281
85	412.8247025	442.6944067	490.0202642	509.9587214	559.8353713	619.7448126	664.7179771	680.9669874	708.4756063	753.5181190	761.6546023	778.5569395	865.0240605	885.0923229	900.1483406
86	412.8233151	442.6930193	490.0188767	509.9573340	559.8339839	619.7434252	664.7165897	680.9655999	708.4742188	753.5167315	761.6532148	778.5555520	865.0226731	885.0909354	900.1469532
87	412.8219276	442.6916318	490.0174893	509.9559465	559.8325964	619.7420377	664.7152022	680.9642124	708.4728313	753.5153441	761.6518273	778.5541646	865.0212856	885.0895480	900.1455657
88	412.8205401	442.6902443	490.0161018	509.9545590	559.8312089	619.7406502	664.7138147	680.9628250	708.4714439	753.5139566	761.6504399	778.5527771	865.0198981	885.0881605	900.1441782
89	412.8191527	442.6888568	490.0147143	509.9531716	559.8298214	619.7392628	664.7124273	680.9614375	708.4700564	753.5125691	761.6490524	778.5513896	865.0185107	885.0867730	900.1427907
90	412.8177652	442.6874694	490.0133269	509.9517841	559.8284340	619.7378753	664.7110398	680.9600500	708.4686689	753.5111817	761.6476649	778.5500022	865.0171232	885.0853856	900.1414033
91	412.8163777	442.6860819	490.0119394	509.9503966	559.8270465	619.7364878	664.7096523	680.9586625	708.4672814	753.5097942	761.6462775	778.5486147	865.0157357	885.0839981	900.1400158
92	412.8149902	442.6846944	490.0105519	509.9490092	559.8256590	619.7351004	664.7082649	680.9572751	708.4658940	753.5084067	761.6448900	778.5472272	865.0143483	885.0826106	900.1386283
93	412.8136028	442.6833070	490.0091644	509.9476217	559.8242716	619.7337129	664.7068774	680.9558876	708.4645065	753.5070192	761.6435025	778.5458398	865.0129608	885.0812231	900.1372409
94	412.8122153	442.6819195	490.0077770	509.9462342	559.8228841	619.7323254	664.7054899	680.9545001	708.4631190	753.5056318	761.6421150	778.5444523	865.0115733	885.0798357	900.1358534
95	412.8108278	442.6805320	490.0063895	509.9448467	559.8214966	619.7309379	664.7041024	680.9531127	708.4617316	753.5042443	761.6407276	778.5430648	865.0101858	885.0784482	900.1344659
96	412.8094404	442.6791446	490.0050020	509.9434593	559.8201092	619.7295505	664.7027150	680.9517252	708.4603441	753.5028568	761.6393401	778.5416773	865.0087984	885.0770607	900.1330785
97	412.8080529	442.6777571	490.0036146	509.9420718	559.8187217	619.7281630	664.7013275	680.9503377	708.4589566	753.5014694	761.6379526	778.5402899	865.0074109	885.0756733	900.1316910
98	412.8066654	442.6763696	490.0022271	509.9406843	559.8173342	619.7267755	664.6999400	680.9489503	708.4575692	753.5000819	761.6365652	778.5389024	865.0060234	885.0742858	900.1303035
99	412.8052780	442.6749821	490.0008396	509.9392969	559.8159467	619.7253881	664.6985526	680.9475628	708.4561817	753.4986944	761.6351777	778.5375149	865.0046360	885.0728983	900.1289160
100	412.8038905	442.6735947	489.9994522	509.9379094	559.8145593	619.7240006	664.6971651	680.9461753	708.4547942	753.4973070	761.6337902	778.5361275	865.0032485	885.0715109	900.1275286
101	412.8025030	442.6722072	489.9980647	509.9365219	559.8131718	619.7226131	664.6957776	680.9447878	708.4534067	753.4959195	761.6324028	778.5347400	865.0018610	885.0701234	900.1261411
102	412.8011155	442.6708197	489.9966772	509.9351345	559.8117843	619.7212257	664.6943902	680.9434004	708.4520193	753.4945320	761.6310153	778.5333525	865.0004736	885.0687359	900.1247536
103	412.7997281	442.6694323	489.9952897	509.9337470	559.8103969	619.7198382	664.6930027	680.9420129	708.4506318	753.4931445	761.6296278	778.5319651	864.9990861	885.0673484	900.1233662
104	412.7983406	442.6680448	489.9939023	509.9323595	559.8090094	619.7184507	664.6916152	680.9406254	708.4492443	753.4917571	761.6282403	778.5305776	864.9976986	885.0659610	900.1219787
105	412.7969531	442.6666573	489.9925148	509.9309720	559.8076219	619.7170632	664.6902277	680.9392380	708.4478569	753.4903696	761.6268529	778.5291901	864.9963111	885.0645735	900.1205912
106	412.7955657	442.6652699	489.9911273	509.9295846	559.8062345	619.7156758	664.6888403	680.9378505	708.4464694	753.4889821	761.6254654	778.5278026	864.9949237	885.0631860	900.1192038
107	412.7941782	442.6638824	489.9897399	509.9281971	559.8048470	619.7142883	664.6874528	680.9364630	708.4450819	753.4875947	761.6240779	778.5264152	864.9935362	885.0617986	900.1178163
108	412.7927907	442.6624949	489.9883524	509.9268096	559.8034595	619.7129008	664.6860653	680.9350756	708.4436945	753.4862072	761.6226905	778.5250277	864.9921487	885.0604111	900.1164288
109	412.7914033	442.6611074	489.9869649	509.9254222	559.8020720	619.7115134	664.6846779	680.9336881	708.4423070	753.4848197	761.6213030	778.5236402	864.9907613	885.0590236	900.1150413
110	412.7900158	442.6597200	489.9855775	509.9240347	559.8006846	619.7101259	664.6832904	680.9323006	708.4409195	753.4834323	761.6199155	778.5222528	864.9893738	885.0576362	900.1136539
111	412.7886283	442.6583325	489.9841900	509.9226472	559.7992971	619.7087384	664.6819029	680.9309131	708.4395320	753.4820448	761.6185281	778.5208653	864.9879863	885.0562487	900.1122664
112	412.7872409	442.6569450	489.9828025	509.9212598	559.7979096	619.7073510	664.6805155	680.9295257	708.4381446	753.4806573	761.6171406	778.5194778	864.9865989	885.0548612	900.1108789
113	412.7858534	442.6555576	489.9814150	509.9198723	559.7965222	619.7059635	664.6791280	680.9281382	708.4367571	753.4792698	761.6157531	778.5180904	864.9852114	885.0534737	900.1094915
114	412.7844659	442.6541701	489.9800276	509.9184848	559.7951347	619.7045760	664.6777405	680.9267507	708.4353696	753.4778824	761.6143656	778.5167029	864.9838239	885.0520863	900.1081040
115	412.7830784	442.6527826	489.9786401	509.9170973	559.7937472	619.7031885	664.6763530	680.9253633	708.4339822	753.4764949	761.6129782	778.5153154	864.9824364	885.0506988	900.1067165
116	412.7816910	442.6513952	489.9772526	509.9157099	559.7923598	619.7018011	664.6749656	680.9239758	708.4325947	753.4751074	761.6115907	778.5139279	864.9810490	885.0493113	900.1053291
117	412.7803035	442.6500077	489.9758652	509.9143224	559.7909723	619.7004136	664.6735781	680.9225883	708.4312072	753.4737200	761.6102032	778.5125405	864.9796615	885.0479239	900.1039416
118	412.7789160	442.6486202	489.9744777	509.9129349	559.7895848	619.6990261	664.6721906	680.9212009	708.4298198	753.4723325	761.6088158	778.5111530	864.9782740	885.0465364	900.1025541
119	412.7775286	442.6472327	489.9730902	509.9115475	559.7881973	619.6976387	664.6708032	680.9198134	708.4284323	753.4709450	761.6074283	778.5097655	864.9768866	885.0451489	900.1011666
120	412.7761411	442.6458453	489.9717028	509.9101600	559.7868099	619.6962512	664.6694157	680.9184259	708.4270448	753.4695576	761.6060408	778.5083781	864.9754991	885.0437615	900.0997792
121	412.7747536	442.6444578	489.9703153	509.9087725	559.7854224	619.6948637	664.6680282	680.9170384	708.4256573	753.4681701	761.6046534	778.5069906	864.9741116	885.0423740	900.0983917
122	412.7733661	442.6430703	489.9689278	509.9073851	559.7840349	619.6934763	664.6666408	680.9156510	708.4242699	753.4667826	761.6032659	778.5056031	864.9727242	885.0409865	900.0970042
123	412.7719787	442.6416829	489.9675403	509.9059976	559.7826475	619.6920888	664.6652533	680.9142635	708.4228824	753.4653951	761.6018784	778.5042157	864.9713367	885.0395990	900.0956168
124	412.7705912	442.6402954	489.9661529	509.9046101	559.7812600	619.6907013	664.6638658	680.9128760	708.4214949	753.4640077	761.6004909	778.5028282	864.9699492	885.0382116	900.0942293
125	412.7692037	442.6389079	489.9647654	509.9032226	559.7798725	619.6893138	664.6624783	680.9114886	708.4201075	753.4626202	761.5991035	778.5014407	864.9685617	885.0368241	900.0928418
126	412.7678163	442.6375205	489.9633779	509.9018352	559.7784851	619.6879264	664.6610909	680.9101011	708.4187200	753.4612327	761.5977160	778.5000532	864.9671743	885.0354366	900.0914544
127	412.7664288	442.6361330	489.9619905	509.9004477	559.7770976	619.6865389	664.6597034	680.9087136	708.4173325	753.4598453	761.5963285	778.4986658	864.9657868	885.0340492	900.0900669
128	412.7650413	442.6347455	489.9606030	509.8990602	559.7757101	619.6851514	664.6583159	680.9073262	708.4159451	753.4584578	761.5949411	778.4972783	864.9643993	885.0326617	900.0886794
129	412.7636539	442.6333580	489.9592155	509.8976728	559.7743226	619.6837640	664.6569285	680.9059387	708.4145576	753.4570703	761.5935536	778.4958908	864.9630119	885.0312742	900.0872919
130	412.7622664	442.6319706	489.9578281	509.8962853	559.7729352	619.6823765	664.6555410	680.9045512	708.4131701	753.4556829	761.5921661	778.4945034	864.9616244	885.0298868	900.0859045
131	412.7608789	442.6305831	489.9564406	509.8948978	559.7715477	619.6809890	664.6541535	680.9031637	708.4117826	753.4542954	761.5907787	778.4931159	864.9602369	885.0284993	900.0845170
132	412.7594914	442.6291956	489.9550531	509.8935104	559.7701602	619.6796016	664.6527661	680.9017763	708.4103952	753.4529079	761.5893912	778.4917284	864.9588495	885.0271118	900.0831295
133	412.7581040	442.6278082	489.9536656	509.8921229	559.7687728	619.6782141	664.6513786	680.9003888	708.4090077	753.4515204	761.5880037	778.4903410	864.9574620	885.0257243	900.0817421
134	412.7567165	442.6264207	489.9522782	509.8907354	559.7673853	619.6768266	664.6499911	680.8990013	708.4076202	753.4501330	761.5866162	778.4889535	864.9560745	885.0243369	900.0803546
135	412.7553290	442.6250332	489.9508907	509.8893479	559.7659978	619.6754391	664.6486036	680.8976139	708.4062328	753.4487455	761.5852288	778.4875660	864.9546870	885.0229494	900.0789671
136	412.7539416	442.6236458	489.9495032	509.8879605	559.7646104	619.6740517	664.6472162	680.8962264	708.4048453	753.4473580	761.5838413	778.4861785	864.9532996	885.0215619	900.0775797
137	412.7525541	442.6222583	489.9481158	509.8865730	559.7632229	619.6726642	664.6458287	680.8948389	708.4034578	753.4459706	761.5824538	778.4847911	864.9519121	885.0201745	900.0761922
138	412.7511666	442.6208708	489.9467283	509.8851855	559.7618354	619.6712767	664.6444412	680.8934515	708.4020704	753.4445831	761.5810664	778.4834036	864.9505246	885.0187870	900.0748047
139	412.7497792	442.6194833	489.9453408	509.8837981	559.7604479	619.6698893	664.6430538	680.8920640	708.4006829	753.4431956	761.5796789	778.4820161	864.9491372	885.0173995	900.0734172
140	412.7483917	442.6180959	489.9439534	509.8824106	559.7590605	619.6685018	664.6416663	680.8906765	708.3992954	753.4418082	761.5782914	778.4806287	864.9477497	885.0160121	900.0720298
141	412.7470042	442.6167084	489.9425659	509.8810231	559.7576730	619.6671143	664.6402788	680.8892890	708.3979079	753.4404207	761.5769040	778.4792412	864.9463622	885.0146246	900.0706423
142	412.7456168	442.6153209	489.9411784	509.8796357	559.7562855	619.6657269	664.6388914	680.8879016	708.3965205	753.4390332	761.5755165	778.4778537	864.9449748	885.0132371	900.0692548
143	412.7442293	442.6139335	489.9397909	509.8782482	559.7548981	619.6643394	664.6375039	680.8865141	708.3951330	753.4376457	761.5741290	778.4764663	864.9435873	885.0118496	900.0678674
144	412.7428418	442.6125460	489.9384035	509.8768607	559.7535106	619.6629519	664.6361164	680.8851266	708.3937455	753.4362583	761.5727415	778.4750788	864.9421998	885.0104622	900.0664799
145	412.7414543	442.6111585	489.9370160	509.8754732	559.7521231	619.6615644	664.6347289	680.8837392	708.3923581	753.4348708	761.5713541	778.4736913	864.9408123	885.0090747	900.0650924
146	412.7400669	442.6097711	489.9356285	509.8740858	559.7507357	619.6601770	664.6333415	680.8823517	708.3909706	753.4334833	761.5699666	778.4723038	864.9394249	885.0076872	900.0637050
147	412.7386794	442.6083836	489.9342411	509.8726983	559.7493482	619.6587895	664.6319540	680.8809642	708.3895831	753.4320959	761.5685791	778.4709164	864.9380374	885.0062998	900.0623175
148	412.7372919	442.6069961	489.9328536	509.8713108	559.7479607	619.6574020	664.6305665	680.8795768	708.3881957	753.4307084	761.5671917	778.4695289	864.9366499	885.0049123	900.0609300
