product	index	patch	flh.mean	flh.stdev	flh.cvar	flh.min	flh.max	flh.p10	flh.p50	flh.p90	flh.skewness	flh.count	mci.mean	mci.stdev	mci.cvar	mci.min	mci.max	mci.p10	mci.p50	mci.p90	mci.skewness	mci.count	red.mean	red.stdev	red.cvar	red.min	red.max	red.p10	red.p50	red.p90	red.skewness	red.count	green.mean	green.stdev	green.cvar	green.min	green.max	green.p10	green.p50	green.p90	green.skewness	green.count	blue.mean	blue.stdev	blue.cvar	blue.min	blue.max	blue.p10	blue.p50	blue.p90	blue.skewness	blue.count	coast_dist.mean	coast_dist.stdev	coast_dist.cvar	coast_dist.min	coast_dist.max	coast_dist.p10	coast_dist.p50	coast_dist.p90	coast_dist.skewness	coast_dist.count	flh_hg_pixels	valid_pixels	fractal_index	clumpiness	index	patch	flag	ab_cyano	ab_coco	ab_float	ab_case_1	ab_coastal	ab_susp_mat
MER_RR__1PRACR20110507_100153_000026323102_00166_48025_0000.N1.fex	1	x02y12	0.002464106849388551	4.248761630244204E-4	0.17242603060409092	5.580470897257328E-4	0.00399936456233263	0.0019090330506514874	0.002500509491255798	0.002971002114463772	-0.11392405063291139	17219	-0.002211175909126554	2.5374121767800684E-4	-0.11475397169022081	-0.0032370288390666246	-0.001123643945902586	-0.0025270636015193304	-0.0022174857363097544	-0.0018996524613612564	0.013157894736842105	17219	-1.6896640151571274	0.053868895435262173	-0.031881424325801676	-1.7886176109313965	-1.4134193658828735	-1.752709966385737	-1.6992149041034281	-1.612010624492541	0.23958333333333334	17219	-1.65024347440714	0.053263605169749546	-0.032276210144618095	-1.7491110563278198	-1.3657281398773193	-1.712420113151893	-1.6592556852847338	-1.573893082793802	0.23243243243243245	17219	-0.9296977626916679	0.050404116069981686	-0.05421559359683873	-1.0228914022445679	-0.6758360266685486	-0.9930663309060037	-0.9334161882288754	-0.8615648800041527	0.09278350515463918	17219	117.56425089487009	25.488069568693696	0.21680119062287043	60.04043197631836	175.23448181152344	85.23913037776947	113.81265445798635	155.43550449609756	0.1858974358974359	17219	0.06845	0.233275	1.4513435644146528	0.6151549395394418	1	x02y12	1	1	0	0	1	0	0
MER_RR__1PRACR20110507_100153_000026323102_00166_48025_0000.N1.fex	2	x03y12	0.001910291931990538	3.5486804189734886E-4	0.18576639305992032	2.536782412789762E-4	0.002974411705508828	0.0014121155365955929	0.001932880926233338	0.0023420537323772805	-0.12	22127	-0.0017652918520710212	2.2002131197147064E-4	-0.12463735767734045	-0.002553615253418684	-7.417881861329079E-4	-0.002047577615485352	-0.001768018360962742	-0.001474304207476962	0.024691358024691357	22127	-1.7600684066609058	0.04254348406882102	-0.024171494646354066	-1.8220279216766357	-1.535218358039856	-1.803542149020359	-1.7704918282106519	-1.698789437301457	0.3689839572192513	22127	-1.7190024381561657	0.041486251786687196	-0.024133910962445247	-1.7799773216247559	-1.496516466140747	-1.761707383673638	-1.729042949154973	-1.6598386387340724	0.358695652173913	22127	-1.0146646068956828	0.03388286580131201	-0.03339316811786211	-1.0610575675964355	-0.8044419288635254	-1.0500311143696308	-1.0229661837220192	-0.9698387272655964	0.325	22127	94.34315367542729	34.15005216277744	0.3619770045027888	37.25286865234375	174.4914093017578	52.26333403587341	89.52145346999168	145.81069865822792	0.2034383954154728	22127	0.2912	0.498725	1.09728947011177	0.9037314080490845	2	x03y12	1	1	0	0	1	0	0
MER_RR__1PRACR20110507_100153_000026323102_00166_48025_0000.N1.fex	3	x03y13	0.0011378825870717157	5.018975791209692E-4	0.44108028791668014	-0.00389165454544127	0.002557995729148388	4.794951523763302E-4	0.0011723286779670161	0.001713998525247007	-0.12244897959183673	17773	-0.0013438191169621596	2.781752550814414E-4	-0.20700349590969133	-0.00228069256991148	0.007146979216486216	-0.001654636240346008	-0.00136002149702108	-0.001028579910780536	0.058823529411764705	17773	-1.7776748420069028	0.05201307539012408	-0.029259049046002142	-1.8376301527023315	-1.334884762763977	-1.821919359266758	-1.796389319933951	-1.7099799560382962	0.543859649122807	17773	-1.7336147730763476	0.054055804991493754	-0.03118097851437331	-1.7943326234817505	-1.28523850440979	-1.7784234322607517	-1.7535653209779412	-1.6630817959085107	0.5689655172413793	17773	-1.0101410530162527	0.05438641015740827	-0.05384041168806276	-1.0693531036376953	-0.6182251572608948	-1.0570175738539547	-1.030584295745939	-0.9319000574760139	0.5774647887323944	17773	18.70045749262373	13.883750572610758	0.7424283912886682	0.0	60.22768020629883	2.352643758058548	16.586138494312763	38.34809325635433	0.20915032679738563	17773	0.22055	0.40835	1.0787885624048277	0.9342711871180953	3	x03y13	1	1	0	0	1	0	0
MER_RR__1PRACR20110507_100153_000026323102_00166_48025_0000.N1.fex	4	x01y15	2.164292783678655E-4	3.632734785007438E-4	1.6784858372224793	-0.0019294163212180138	0.0024221453350037336	-4.260638434061548E-5	1.1037820513593033E-4	6.288259805842245E-4	0.5443037974683544	13285	-9.429353628014677E-4	2.4806680780964835E-4	-0.26307933459260674	-0.002184988232329488	9.961051400750875E-4	-0.0012840926483477233	-8.802429038041737E-4	-7.311291519727092E-4	-0.4606741573033708	13285	-1.7058441273736331	0.06482471234542055	-0.03800154498595751	-1.783890724182129	-1.3713419437408447	-1.7669697781093419	-1.7282933299429715	-1.6050121514126658	0.5223880597014925	13285	-1.6569489992602626	0.06392584178405186	-0.038580452272575234	-1.7413088083267212	-1.3226351737976074	-1.7175948719959706	-1.6783442187588662	-1.5573213712777942	0.5102040816326531	13285	-0.8933372169048854	0.05328095320082236	-0.059642598777450505	-0.9680527448654175	-0.61830735206604	-0.9468767542857677	-0.9120388342998922	-0.8123067496344447	0.48223350253807107	13285	21.152397331421614	15.562554684090893	0.7357347935674846	0.0	76.35980224609375	5.518188834190369	17.151127457618713	45.338632583618164	0.4157303370786517	13285	0.051	0.283325	1.1428031162544436	0.8958013745719711	4	x01y15	1	1	0	0	1	0	0
MER_RR__1PRACR20110507_100153_000026323102_00166_48025_0000.N1.fex	5	x00y16	6.06583244289207E-4	4.1664544842593397E-4	0.6868726631480866	-1.2545996287371963E-4	0.0019987451378256083	1.4006567471369635E-4	5.134611025710001E-4	0.0012519542821110008	0.3283582089552239	23250	-0.001287477561630685	2.773672261282862E-4	-0.21543460980941698	-0.0022951264400035143	-4.3503407505340874E-4	-0.0016920496185548473	-0.0012560904705196663	-9.581850526956259E-4	-0.18811881188118812	23250	-1.6171239212302702	0.05649996436793583	-0.03493854962268567	-1.697909951210022	-1.3595314025878906	-1.6727959183044732	-1.63512486894615	-1.5379732153378427	0.4411764705882353	23250	-1.565576581611425	0.05528492928644737	-0.035312823362203975	-1.6457470655441284	-1.312017560005188	-1.6209780788049102	-1.583172783255577	-1.4880077289417386	0.43137254901960786	23250	-0.7965544564313756	0.05086628439766736	-0.06385788691152665	-0.8769084811210632	-0.5725587010383606	-0.8489701224025339	-0.8127096993848681	-0.7223558584228158	0.4272300469483568	23250	115.80314021809927	25.167147745404037	0.21732698869827863	64.451904296875	172.8690643310547	83.7213604748249	113.15492540597916	152.75259909033775	0.147239263803681	23250	0.18905	0.509075	1.1235311840915938	0.8738032443980549	5	x00y16	1	0	0	0	1	0	0
MER_RR__1PRACR20110507_100153_000026323102_00166_48025_0000.N1.fex	6	x01y16	2.9515499498142527E-4	3.0186903573569594E-4	1.0227475084902196	-0.0018346833530813456	0.0017283624038100243	2.3389336547552375E-5	2.599978438411199E-4	6.705831947328988E-4	0.26881720430107525	27998	-9.90937228779605E-4	1.911616519700178E-4	-0.19290995071952655	-0.001861965749412775	8.739882032386959E-4	-0.0012474448420789486	-9.74918178826556E-4	-7.932337366582942E-4	-0.2	27998	-1.7225065370722858	0.04066884259387339	-0.02361026894156089	-1.7922320365905762	-1.3936477899551392	-1.7766623394563794	-1.721389914629981	-1.682465671794489	-0.17355371900826447	27998	-1.6717469879274418	0.04142750746644396	-0.02478096731479921	-1.7476602792739868	-1.3453353643417358	-1.7288012988865376	-1.6690811943262815	-1.629791651852429	-0.20634920634920634	27998	-0.9099934056525764	0.03800888897547024	-0.04176831253871914	-0.9867607355117798	-0.677069902420044	-0.9661953286267817	-0.9093380272388458	-0.8651828889269382	-0.12574850299401197	27998	39.88894099740077	21.817042771859708	0.5469446474721237	0.0	85.61418151855469	9.531266301870346	39.295571595430374	69.72873768210411	0.011111111111111112	27998	0.1744	0.6311	1.0962984176988617	0.858508281969037	6	x01y16	1	0	0	0	1	1	0
MER_RR__1PRACR20110507_100153_000026323102_00166_48025_0000.N1.fex	7	x01y17	2.131763716328001E-4	2.4163118706877818E-4	1.1334801564452555	-0.0018989451928064227	0.0010095170000568032	-1.2989239621674642E-5	2.085537789753289E-4	4.8122210955625633E-4	0.10344827586206896	11181	-9.1122879242545E-4	1.5375694302074324E-4	-0.1687358260612935	-0.0014612028608098626	9.056032868102193E-4	-0.0011145027415295772	-9.018600017043354E-4	-7.354439444497984E-4	-0.12195121951219512	11181	-1.7425465970717016	0.0544997747503403	-0.03127593537063834	-1.8384020328521729	-1.4742965698242188	-1.796444567386061	-1.755909388884902	-1.6798170362599194	0.3048780487804878	11181	-1.6926354072290337	0.05715884558350413	-0.033769142096039026	-1.7994505167007446	-1.4237029552459717	-1.7532159534748644	-1.7055136263370514	-1.6291899029165506	0.23076923076923078	11181	-0.928973516409517	0.05342943475136283	-0.057514486481668084	-1.0380005836486816	-0.7130992412567139	-0.9916767594404519	-0.9358343412168324	-0.8704733289778233	0.07853403141361257	11181	27.55172981937399	17.99533839865823	0.653147316579889	0.0	67.57455444335938	6.335114479064941	24.41658705472946	54.64036238193512	0.25136612021857924	11181	0.0361	0.248925	1.1061136547266361	0.9291127222054155	7	x01y17	1	0	0	0	1	1	0
MER_RR__1PRACR20110507_100153_000026323102_00166_48025_0000.N1.fex	8	x03y17	2.4610550812843873E-4	1.5465180008821013E-4	0.6283963380758618	-9.128586971201003E-4	9.237867197953165E-4	7.720797293586656E-5	2.350446884520352E-4	4.3234058284724597E-4	0.1111111111111111	11393	-5.976507240085281E-4	1.388507925523311E-4	-0.23232765723270468	-0.001045023906044662	0.002546473406255245	-7.57423535333146E-4	-6.031013851952594E-4	-4.6280852143354423E-4	-0.047619047619047616	11393	-1.851411358818156	0.04340257437298695	-0.02344296645165496	-1.9203382730484009	-1.587173581123352	-1.8871519463136792	-1.8650277284905314	-1.803210061043501	0.4728682170542636	11393	-1.8124174541118336	0.04220018256620722	-0.023283919756161925	-1.8780672550201416	-1.5467009544372559	-1.8457072647288442	-1.8256440707482398	-1.7673960882239044	0.48760330578512395	11393	-1.1308542819759022	0.025148066446476963	-0.022238114005755566	-1.1748310327529907	-0.9519703984260559	-1.1504556508734822	-1.1378326852573082	-1.1060576338786632	0.43137254901960786	11393	17.77867545634135	11.309505503839057	0.6361275636990803	0.0	49.8938102722168	3.41070968657732	15.689264558255672	34.39944341033697	0.20754716981132076	11393	0.0253	0.251725	1.1146575222017057	0.9297532692211953	8	x03y17	0	0	0	0	0	0	0
MER_RR__1PRACR20110507_100153_000026323102_00166_48025_0000.N1.fex	9	x04y17	2.631700118330101E-4	1.8286622108664656E-4	0.6948596453409026	-0.001693596364930272	0.0015054137911647558	8.08545810286887E-5	2.6829658236238174E-4	4.432424502738286E-4	-0.034482758620689655	11858	-5.51239768059797E-4	3.0503837723838575E-4	-0.5533678716831911	-0.0010840389877557755	0.004492225591093302	-7.355224515777081E-4	-6.048287505109329E-4	-4.0878819891077E-4	0.2	11858	-1.8553436661896556	0.054765994200644	-0.02951797836630324	-1.931073546409607	-1.5581611394882202	-1.9019397646188736	-1.8749910164624453	-1.7810345701873302	0.5542168674698795	11858	-1.8135282548267342	0.05469571717799334	-0.03015983734051004	-1.9038141965866089	-1.5148941278457642	-1.85975684504956	-1.8346897312439978	-1.738219323568046	0.5875	11858	-1.136670805346725	0.03059480973328978	-0.026916156893778298	-1.1934595108032227	-0.950055718421936	-1.1606570465955883	-1.146870503667742	-1.096002914244309	0.5735294117647058	11858	18.430381928814846	12.33466501175538	0.6692571569811496	0.0	57.556304931640625	3.4848544001579285	15.738052129745483	35.52303194999695	0.23508771929824562	11858	0.01635	0.249575	1.155628859003637	0.9028121339300376	9	x04y17	1	0	0	0	0	1	0
MER_RR__1PRACR20110507_100153_000026323102_00166_48025_0000.N1.fex	10	x04y18	2.2338569505021063E-4	2.3410182608022155E-4	1.0479714290908477	-0.0019441797630861402	0.0012852881336584687	5.531500892175245E-5	2.571567524682905E-4	4.211531690998527E-4	-0.10344827586206896	25943	-8.597861998523363E-4	2.780270952985957E-4	-0.32336771088713145	-0.0015716298948973417	0.006028514821082354	-0.0011559969807422021	-8.88804393071041E-4	-5.770797074546863E-4	0.07692307692307693	25943	-1.851996349929065	0.05295805987577449	-0.028595121085310392	-1.9483370780944824	-1.531151294708252	-1.9287814944982529	-1.8464850801974535	-1.7967813052237034	-0.24691358024691357	25943	-1.8042157584588017	0.054842627332442564	-0.030396934000449186	-1.9056226015090942	-1.4857447147369385	-1.8851207515690476	-1.7990129818208516	-1.7457081719767302	-0.23529411764705882	25943	-1.1215035151861854	0.034055934226311466	-0.03036631964604917	-1.1858974695205688	-0.9327471256256104	-1.1725477443542331	-1.12013771221973	-1.0815718395169824	-0.15217391304347827	25943	23.89842912262385	15.015365549442535	0.6282992690606591	0.0	59.7845573425293	7.356302954256535	20.90124172717333	46.94021885097027	0.31563421828908556	25943	0.02605	0.57885	1.1060921936529997	0.8674457216028932	10	x04y18	1	0	0	0	0	1	0
