#
# Gaussian Grid N512
# Each record specifies the number of grid points per row in the gaussian 
# grid and also the latitude value of the row
# 
#
#reduced points	regular points	latitude
18	2048	89.865509
25	2048	89.691286
32	2048	89.516035
40	2048	89.340551
45	2048	89.164979
50	2048	88.989365
60	2048	88.813726
60	2048	88.638073
72	2048	88.462411
72	2048	88.286741
75	2048	88.111067
81	2048	87.935389
90	2048	87.759709
96	2048	87.584026
96	2048	87.408341
100	2048	87.232655
108	2048	87.056968
120	2048	86.881280
125	2048	86.705592
128	2048	86.529902
135	2048	86.354212
144	2048	86.178522
150	2048	86.002831
160	2048	85.827139
160	2048	85.651448
180	2048	85.475756
180	2048	85.300063
180	2048	85.124371
192	2048	84.948678
192	2048	84.772985
200	2048	84.597292
216	2048	84.421599
216	2048	84.245906
225	2048	84.070212
225	2048	83.894519
240	2048	83.718825
240	2048	83.543132
243	2048	83.367438
250	2048	83.191744
256	2048	83.016050
270	2048	82.840356
270	2048	82.664661
288	2048	82.488967
288	2048	82.313273
288	2048	82.137579
300	2048	81.961884
320	2048	81.786190
320	2048	81.610495
320	2048	81.434801
320	2048	81.259106
360	2048	81.083412
360	2048	80.907717
360	2048	80.732023
360	2048	80.556328
360	2048	80.380633
360	2048	80.204939
375	2048	80.029244
375	2048	79.853549
384	2048	79.677854
384	2048	79.502159
400	2048	79.326465
400	2048	79.150770
400	2048	78.975075
432	2048	78.799380
432	2048	78.623685
432	2048	78.447990
432	2048	78.272295
450	2048	78.096600
450	2048	77.920905
450	2048	77.745210
480	2048	77.569515
480	2048	77.393820
480	2048	77.218125
480	2048	77.042430
480	2048	76.866735
486	2048	76.691040
500	2048	76.515345
500	2048	76.339650
512	2048	76.163955
512	2048	75.988260
540	2048	75.812565
540	2048	75.636869
540	2048	75.461174
540	2048	75.285479
540	2048	75.109784
576	2048	74.934089
576	2048	74.758394
576	2048	74.582699
576	2048	74.407003
576	2048	74.231308
576	2048	74.055613
600	2048	73.879918
600	2048	73.704223
600	2048	73.528527
640	2048	73.352832
640	2048	73.177137
640	2048	73.001442
640	2048	72.825747
640	2048	72.650051
640	2048	72.474356
640	2048	72.298661
648	2048	72.122966
675	2048	71.947270
675	2048	71.771575
675	2048	71.595880
675	2048	71.420185
675	2048	71.244489
720	2048	71.068794
720	2048	70.893099
720	2048	70.717404
720	2048	70.541708
720	2048	70.366013
720	2048	70.190318
720	2048	70.014623
729	2048	69.838927
729	2048	69.663232
750	2048	69.487537
750	2048	69.311841
750	2048	69.136146
768	2048	68.960451
768	2048	68.784755
768	2048	68.609060
800	2048	68.433365
800	2048	68.257670
800	2048	68.081974
800	2048	67.906279
800	2048	67.730584
800	2048	67.554888
810	2048	67.379193
864	2048	67.203498
864	2048	67.027802
864	2048	66.852107
864	2048	66.676412
864	2048	66.500716
864	2048	66.325021
864	2048	66.149326
864	2048	65.973630
864	2048	65.797935
864	2048	65.622240
900	2048	65.446544
900	2048	65.270849
900	2048	65.095154
900	2048	64.919458
900	2048	64.743763
900	2048	64.568068
960	2048	64.392372
960	2048	64.216677
960	2048	64.040982
960	2048	63.865286
960	2048	63.689591
960	2048	63.513896
960	2048	63.338200
960	2048	63.162505
960	2048	62.986809
960	2048	62.811114
960	2048	62.635419
972	2048	62.459723
972	2048	62.284028
1000	2048	62.108333
1000	2048	61.932637
1000	2048	61.756942
1000	2048	61.581247
1000	2048	61.405551
1024	2048	61.229856
1024	2048	61.054160
1024	2048	60.878465
1024	2048	60.702770
1080	2048	60.527074
1080	2048	60.351379
1080	2048	60.175684
1080	2048	59.999988
1080	2048	59.824293
1080	2048	59.648597
1080	2048	59.472902
1080	2048	59.297207
1080	2048	59.121511
1080	2048	58.945816
1125	2048	58.770121
1125	2048	58.594425
1125	2048	58.418730
1125	2048	58.243034
1125	2048	58.067339
1125	2048	57.891644
1125	2048	57.715948
1125	2048	57.540253
1125	2048	57.364557
1152	2048	57.188862
1152	2048	57.013167
1152	2048	56.837471
1152	2048	56.661776
1152	2048	56.486080
1200	2048	56.310385
1200	2048	56.134690
1200	2048	55.958994
1200	2048	55.783299
1200	2048	55.607604
1200	2048	55.431908
1200	2048	55.256213
1200	2048	55.080517
1200	2048	54.904822
1215	2048	54.729127
1215	2048	54.553431
1215	2048	54.377736
1280	2048	54.202040
1280	2048	54.026345
1280	2048	53.850650
1280	2048	53.674954
1280	2048	53.499259
1280	2048	53.323563
1280	2048	53.147868
1280	2048	52.972173
1280	2048	52.796477
1280	2048	52.620782
1280	2048	52.445086
1280	2048	52.269391
1280	2048	52.093695
1296	2048	51.918000
1296	2048	51.742305
1296	2048	51.566609
1350	2048	51.390914
1350	2048	51.215218
1350	2048	51.039523
1350	2048	50.863828
1350	2048	50.688132
1350	2048	50.512437
1350	2048	50.336741
1350	2048	50.161046
1350	2048	49.985351
1350	2048	49.809655
1350	2048	49.633960
1440	2048	49.458264
1440	2048	49.282569
1440	2048	49.106874
1440	2048	48.931178
1440	2048	48.755483
1440	2048	48.579787
1440	2048	48.404092
1440	2048	48.228396
1440	2048	48.052701
1440	2048	47.877006
1440	2048	47.701310
1440	2048	47.525615
1440	2048	47.349919
1440	2048	47.174224
1440	2048	46.998529
1440	2048	46.822833
1440	2048	46.647138
1440	2048	46.471442
1440	2048	46.295747
1458	2048	46.120051
