#
# Gaussian Grid N200
# Each record specifies the number of grid points per row in the gaussian 
# grid and also the latitude value of the row
# 
#
#reduced points	regular points	latitude
18	800	89.655964
25	800	89.210294
36	800	88.761993
40	800	88.313096
45	800	87.863974
50	800	87.414743
60	800	86.965451
64	800	86.516121
72	800	86.066767
72	800	85.617395
75	800	85.168011
81	800	84.718618
90	800	84.269218
96	800	83.819812
100	800	83.370402
108	800	82.920989
120	800	82.471572
125	800	82.022153
128	800	81.572732
135	800	81.123310
144	800	80.673885
150	800	80.224460
160	800	79.775033
160	800	79.325606
180	800	78.876177
180	800	78.426748
180	800	77.977318
192	800	77.527888
192	800	77.078457
200	800	76.629026
216	800	76.179594
216	800	75.730162
225	800	75.280729
225	800	74.831296
240	800	74.381863
240	800	73.932429
243	800	73.482995
250	800	73.033562
256	800	72.584127
270	800	72.134693
270	800	71.685258
288	800	71.235824
288	800	70.786389
288	800	70.336954
300	800	69.887519
300	800	69.438083
320	800	68.988648
320	800	68.539212
320	800	68.089777
320	800	67.640341
360	800	67.190905
360	800	66.741469
360	800	66.292033
360	800	65.842597
360	800	65.393161
360	800	64.943725
375	800	64.494288
375	800	64.044852
375	800	63.595416
384	800	63.145979
400	800	62.696543
400	800	62.247106
400	800	61.797670
400	800	61.348233
432	800	60.898796
432	800	60.449359
432	800	59.999923
432	800	59.550486
432	800	59.101049
450	800	58.651612
450	800	58.202175
450	800	57.752738
480	800	57.303301
480	800	56.853864
480	800	56.404427
480	800	55.954990
480	800	55.505553
480	800	55.056116
486	800	54.606679
500	800	54.157242
500	800	53.707804
500	800	53.258367
512	800	52.808930
512	800	52.359493
512	800	51.910055
540	800	51.460618
540	800	51.011181
540	800	50.561743
540	800	50.112306
540	800	49.662869
576	800	49.213431
576	800	48.763994
576	800	48.314557
576	800	47.865119
576	800	47.415682
576	800	46.966244
576	800	46.516807
576	800	46.067369
600	800	45.617932
600	800	45.168494
600	800	44.719057
600	800	44.269619
600	800	43.820182
640	800	43.370744
640	800	42.921307
640	800	42.471869
640	800	42.022432
640	800	41.572994
640	800	41.123557
640	800	40.674119
640	800	40.224681
640	800	39.775244
640	800	39.325806
648	800	38.876368
648	800	38.426931
675	800	37.977493
675	800	37.528056
675	800	37.078618
675	800	36.629180
675	800	36.179743
675	800	35.730305
675	800	35.280867
720	800	34.831430
720	800	34.381992
720	800	33.932554
720	800	33.483117
720	800	33.033679
720	800	32.584241
720	800	32.134803
720	800	31.685366
720	800	31.235928
720	800	30.786490
720	800	30.337053
720	800	29.887615
720	800	29.438177
720	800	28.988739
729	800	28.539302
729	800	28.089864
729	800	27.640426
750	800	27.190988
750	800	26.741551
750	800	26.292113
750	800	25.842675
750	800	25.393237
750	800	24.943799
750	800	24.494362
750	800	24.044924
768	800	23.595486
768	800	23.146048
768	800	22.696611
768	800	22.247173
768	800	21.797735
768	800	21.348297
768	800	20.898859
768	800	20.449422
800	800	19.999984
800	800	19.550546
800	800	19.101108
800	800	18.651670
800	800	18.202233
800	800	17.752795
800	800	17.303357
800	800	16.853919
800	800	16.404481
800	800	15.955043
800	800	15.505606
800	800	15.056168
800	800	14.606730
800	800	14.157292
800	800	13.707854
800	800	13.258416
800	800	12.808979
800	800	12.359541
800	800	11.910103
800	800	11.460665
800	800	11.011227
800	800	10.561789
800	800	10.112352
800	800	9.662914
800	800	9.213476
800	800	8.764038
800	800	8.314600
800	800	7.865162
800	800	7.415725
800	800	6.966287
800	800	6.516849
800	800	6.067411
800	800	5.617973
800	800	5.168535
800	800	4.719097
800	800	4.269660
800	800	3.820222
800	800	3.370784
800	800	2.921346
800	800	2.471908
800	800	2.022470
800	800	1.573032
800	800	1.123595
800	800	0.674157
800	800	0.224719
800	800	-0.224719
800	800	-0.674157
800	800	-1.123595
800	800	-1.573032
800	800	-2.022470
800	800	-2.471908
800	800	-2.921346
800	800	-3.370784
800	800	-3.820222
800	800	-4.269660
800	800	-4.719097
800	800	-5.168535
800	800	-5.617973
800	800	-6.067411
800	800	-6.516849
800	800	-6.966287
800	800	-7.415725
800	800	-7.865162
800	800	-8.314600
800	800	-8.764038
800	800	-9.213476
800	800	-9.662914
800	800	-10.112352
800	800	-10.561789
800	800	-11.011227
800	800	-11.460665
800	800	-11.910103
800	800	-12.359541
800	800	-12.808979
800	800	-13.258416
800	800	-13.707854
800	800	-14.157292
800	800	-14.606730
800	800	-15.056168
800	800	-15.505606
800	800	-15.955043
800	800	-16.404481
800	800	-16.853919
800	800	-17.303357
800	800	-17.752795
800	800	-18.202233
800	800	-18.651670
800	800	-19.101108
800	800	-19.550546
800	800	-19.999984
768	800	-20.449422
768	800	-20.898859
768	800	-21.348297
768	800	-21.797735
768	800	-22.247173
768	800	-22.696611
768	800	-23.146048
768	800	-23.595486
750	800	-24.044924
750	800	-24.494362
750	800	-24.943799
750	800	-25.393237
750	800	-25.842675
750	800	-26.292113
750	800	-26.741551
750	800	-27.190988
729	800	-27.640426
729	800	-28.089864
729	800	-28.539302
720	800	-28.988739
720	800	-29.438177
720	800	-29.887615
720	800	-30.337053
720	800	-30.786490
720	800	-31.235928
720	800	-31.685366
720	800	-32.134803
720	800	-32.584241
720	800	-33.033679
720	800	-33.483117
720	800	-33.932554
720	800	-34.381992
720	800	-34.831430
675	800	-35.280867
675	800	-35.730305
675	800	-36.179743
675	800	-36.629180
675	800	-37.078618
675	800	-37.528056
675	800	-37.977493
648	800	-38.426931
648	800	-38.876368
640	800	-39.325806
640	800	-39.775244
640	800	-40.224681
640	800	-40.674119
640	800	-41.123557
640	800	-41.572994
640	800	-42.022432
640	800	-42.471869
640	800	-42.921307
640	800	-43.370744
600	800	-43.820182
600	800	-44.269619
600	800	-44.719057
600	800	-45.168494
600	800	-45.617932
576	800	-46.067369
576	800	-46.516807
576	800	-46.966244
576	800	-47.415682
576	800	-47.865119
576	800	-48.314557
576	800	-48.763994
576	800	-49.213431
540	800	-49.662869
540	800	-50.112306
540	800	-50.561743
540	800	-51.011181
540	800	-51.460618
512	800	-51.910055
512	800	-52.359493
512	800	-52.808930
500	800	-53.258367
500	800	-53.707804
500	800	-54.157242
486	800	-54.606679
480	800	-55.056116
480	800	-55.505553
480	800	-55.954990
480	800	-56.404427
480	800	-56.853864
480	800	-57.303301
450	800	-57.752738
450	800	-58.202175
450	800	-58.651612
432	800	-59.101049
432	800	-59.550486
432	800	-59.999923
432	800	-60.449359
432	800	-60.898796
400	800	-61.348233
400	800	-61.797670
400	800	-62.247106
400	800	-62.696543
384	800	-63.145979
375	800	-63.595416
375	800	-64.044852
375	800	-64.494288
360	800	-64.943725
360	800	-65.393161
360	800	-65.842597
360	800	-66.292033
360	800	-66.741469
360	800	-67.190905
320	800	-67.640341
320	800	-68.089777
320	800	-68.539212
320	800	-68.988648
300	800	-69.438083
300	800	-69.887519
288	800	-70.336954
288	800	-70.786389
288	800	-71.235824
270	800	-71.685258
270	800	-72.134693
256	800	-72.584127
250	800	-73.033562
243	800	-73.482995
240	800	-73.932429
240	800	-74.381863
225	800	-74.831296
225	800	-75.280729
216	800	-75.730162
216	800	-76.179594
200	800	-76.629026
192	800	-77.078457
192	800	-77.527888
180	800	-77.977318
180	800	-78.426748
180	800	-78.876177
160	800	-79.325606
160	800	-79.775033
150	800	-80.224460
144	800	-80.673885
135	800	-81.123310
128	800	-81.572732
125	800	-82.022153
120	800	-82.471572
108	800	-82.920989
100	800	-83.370402
96	800	-83.819812
90	800	-84.269218
81	800	-84.718618
75	800	-85.168011
72	800	-85.617395
72	800	-86.066767
64	800	-86.516121
60	800	-86.965451
50	800	-87.414743
45	800	-87.863974
40	800	-88.313096
36	800	-88.761993
25	800	-89.210294
18	800	-89.655964
