#
# Gaussian Grid N32
# Each record specifies the number of grid points per row in the gaussian 
# grid and also the latitude value of the row
# 
#
#reduced points	regular points	latitude
20	128	87.86379
27	128	85.09652
36	128	82.31291
40	128	79.52560
45	128	76.73689
50	128	73.94751
60	128	71.15775
64	128	68.36775
72	128	65.57760
75	128	62.78735
80	128	59.99702
90	128	57.20663
90	128	54.41619
96	128	51.62573
100	128	48.83524
108	128	46.04472
108	128	43.25419
120	128	40.46364
120	128	37.67308
120	128	34.88252
128	128	32.09194
128	128	29.30135
128	128	26.51076
128	128	23.72017
128	128	20.92957
128	128	18.13897
128	128	15.34836
128	128	12.55775
128	128	9.76714
128	128	6.97653
128	128	4.18592
128	128	1.39530
128	128	-1.39530
128	128	-4.18592
128	128	-6.97653
128	128	-9.76714
128	128	-12.55775
128	128	-15.34836
128	128	-18.13897
128	128	-20.92957
128	128	-23.72017
128	128	-26.51076
128	128	-29.30135
128	128	-32.09194
120	128	-34.88252
120	128	-37.67308
120	128	-40.46364
108	128	-43.25419
108	128	-46.04472
100	128	-48.83524
96	128	-51.62573
90	128	-54.41619
90	128	-57.20663
80	128	-59.99702
75	128	-62.78735
72	128	-65.57760
64	128	-68.36775
60	128	-71.15775
50	128	-73.94751
45	128	-76.73689
40	128	-79.52560
36	128	-82.31291
27	128	-85.09652
20	128	-87.86379
