#
# Gaussian Grid N640
# Each record specifies the number of grid points per row in the gaussian 
# grid and also the latitude value of the row
# 
#
#reduced points	regular points	latitude
18	2560	89.892396
25	2560	89.753005
32	2560	89.612790
40	2560	89.472390
45	2560	89.331918
50	2560	89.191413
60	2560	89.050889
60	2560	88.910352
72	2560	88.769808
72	2560	88.629259
75	2560	88.488706
81	2560	88.348150
90	2560	88.207592
90	2560	88.067032
96	2560	87.926471
100	2560	87.785908
108	2560	87.645345
120	2560	87.504781
120	2560	87.364216
125	2560	87.223651
135	2560	87.083085
144	2560	86.942519
150	2560	86.801952
160	2560	86.661385
160	2560	86.520818
180	2560	86.380251
180	2560	86.239684
180	2560	86.099116
192	2560	85.958548
192	2560	85.817980
200	2560	85.677412
216	2560	85.536844
216	2560	85.396275
216	2560	85.255707
225	2560	85.115138
240	2560	84.974570
240	2560	84.834001
243	2560	84.693432
250	2560	84.552863
256	2560	84.412294
270	2560	84.271725
270	2560	84.131156
288	2560	83.990587
288	2560	83.850018
288	2560	83.709449
300	2560	83.568880
300	2560	83.428310
320	2560	83.287741
320	2560	83.147172
320	2560	83.006602
360	2560	82.866033
360	2560	82.725464
360	2560	82.584894
360	2560	82.444325
360	2560	82.303755
360	2560	82.163186
375	2560	82.022616
375	2560	81.882047
384	2560	81.741477
384	2560	81.600908
400	2560	81.460338
400	2560	81.319768
400	2560	81.179199
432	2560	81.038629
432	2560	80.898059
432	2560	80.757490
432	2560	80.616920
450	2560	80.476350
450	2560	80.335781
450	2560	80.195211
480	2560	80.054641
480	2560	79.914072
480	2560	79.773502
480	2560	79.632932
480	2560	79.492362
486	2560	79.351792
500	2560	79.211223
500	2560	79.070653
512	2560	78.930083
512	2560	78.789513
540	2560	78.648943
540	2560	78.508374
540	2560	78.367804
540	2560	78.227234
540	2560	78.086664
576	2560	77.946094
576	2560	77.805524
576	2560	77.664955
576	2560	77.524385
576	2560	77.383815
600	2560	77.243245
600	2560	77.102675
600	2560	76.962105
600	2560	76.821535
640	2560	76.680966
640	2560	76.540396
640	2560	76.399826
640	2560	76.259256
640	2560	76.118686
640	2560	75.978116
640	2560	75.837546
648	2560	75.696976
675	2560	75.556406
675	2560	75.415836
675	2560	75.275266
675	2560	75.134697
720	2560	74.994127
720	2560	74.853557
720	2560	74.712987
720	2560	74.572417
720	2560	74.431847
720	2560	74.291277
720	2560	74.150707
720	2560	74.010137
729	2560	73.869567
750	2560	73.728997
750	2560	73.588427
750	2560	73.447857
750	2560	73.307287
768	2560	73.166717
768	2560	73.026147
768	2560	72.885577
800	2560	72.745007
800	2560	72.604437
800	2560	72.463867
800	2560	72.323298
800	2560	72.182728
810	2560	72.042158
810	2560	71.901588
864	2560	71.761018
864	2560	71.620448
864	2560	71.479878
864	2560	71.339308
864	2560	71.198738
864	2560	71.058168
864	2560	70.917598
864	2560	70.777028
900	2560	70.636458
900	2560	70.495888
900	2560	70.355318
900	2560	70.214748
900	2560	70.074178
900	2560	69.933608
960	2560	69.793038
960	2560	69.652468
960	2560	69.511898
960	2560	69.371328
960	2560	69.230758
960	2560	69.090188
960	2560	68.949618
960	2560	68.809048
960	2560	68.668478
960	2560	68.527908
960	2560	68.387338
972	2560	68.246768
972	2560	68.106198
1000	2560	67.965628
1000	2560	67.825058
1000	2560	67.684488
1000	2560	67.543918
1000	2560	67.403348
1024	2560	67.262778
1024	2560	67.122208
1024	2560	66.981638
1024	2560	66.841067
1080	2560	66.700497
1080	2560	66.559927
1080	2560	66.419357
1080	2560	66.278787
1080	2560	66.138217
1080	2560	65.997647
1080	2560	65.857077
1080	2560	65.716507
1080	2560	65.575937
