#
# Gaussian Grid N128
# Each record specifies the number of grid points per row in the gaussian 
# grid and also the latitude value of the row
# 
#
#reduced points	regular points	latitude
18	512	89.462822
25	512	88.766951
36	512	88.066972
40	512	87.366063
45	512	86.664803
50	512	85.963372
60	512	85.261846
64	512	84.560261
72	512	83.858638
72	512	83.156988
80	512	82.455319
90	512	81.753635
90	512	81.051940
100	512	80.350237
108	512	79.648527
120	512	78.946811
120	512	78.245091
125	512	77.543367
128	512	76.841640
144	512	76.139910
144	512	75.438177
150	512	74.736443
160	512	74.034707
160	512	73.332970
180	512	72.631231
180	512	71.929491
180	512	71.227750
192	512	70.526008
192	512	69.824265
200	512	69.122522
216	512	68.420777
216	512	67.719033
216	512	67.017287
225	512	66.315541
240	512	65.613795
240	512	64.912048
240	512	64.210301
250	512	63.508554
250	512	62.806806
256	512	62.105058
270	512	61.403309
270	512	60.701560
288	512	59.999811
288	512	59.298062
288	512	58.596313
300	512	57.894563
300	512	57.192814
320	512	56.491064
320	512	55.789314
320	512	55.087563
320	512	54.385813
324	512	53.684062
360	512	52.982312
360	512	52.280561
360	512	51.578810
360	512	50.877059
360	512	50.175308
360	512	49.473557
360	512	48.771806
375	512	48.070054
375	512	47.368303
375	512	46.666551
375	512	45.964800
384	512	45.263048
384	512	44.561296
400	512	43.859545
400	512	43.157793
400	512	42.456041
400	512	41.754289
405	512	41.052537
432	512	40.350785
432	512	39.649033
432	512	38.947280
432	512	38.245528
432	512	37.543776
432	512	36.842024
432	512	36.140271
450	512	35.438519
450	512	34.736767
450	512	34.035014
450	512	33.333262
450	512	32.631509
480	512	31.929757
480	512	31.228004
480	512	30.526252
480	512	29.824499
480	512	29.122746
480	512	28.420994
480	512	27.719241
480	512	27.017488
480	512	26.315736
480	512	25.613983
486	512	24.912230
486	512	24.210477
486	512	23.508725
500	512	22.806972
500	512	22.105219
500	512	21.403466
500	512	20.701713
500	512	19.999960
500	512	19.298207
500	512	18.596455
512	512	17.894702
512	512	17.192949
512	512	16.491196
512	512	15.789443
512	512	15.087690
512	512	14.385937
512	512	13.684184
512	512	12.982431
512	512	12.280678
512	512	11.578925
512	512	10.877172
512	512	10.175419
512	512	9.473666
512	512	8.771913
512	512	8.070160
512	512	7.368407
512	512	6.666654
512	512	5.964901
512	512	5.263148
512	512	4.561395
512	512	3.859642
512	512	3.157889
512	512	2.456136
512	512	1.754383
512	512	1.052630
512	512	0.350877
512	512	-0.350877
512	512	-1.052630
512	512	-1.754383
512	512	-2.456136
512	512	-3.157889
512	512	-3.859642
512	512	-4.561395
512	512	-5.263148
512	512	-5.964901
512	512	-6.666654
512	512	-7.368407
512	512	-8.070160
512	512	-8.771913
512	512	-9.473666
512	512	-10.175419
512	512	-10.877172
512	512	-11.578925
512	512	-12.280678
512	512	-12.982431
512	512	-13.684184
512	512	-14.385937
512	512	-15.087690
512	512	-15.789443
512	512	-16.491196
512	512	-17.192949
512	512	-17.894702
500	512	-18.596455
500	512	-19.298207
500	512	-19.999960
500	512	-20.701713
500	512	-21.403466
500	512	-22.105219
500	512	-22.806972
486	512	-23.508725
486	512	-24.210477
486	512	-24.912230
480	512	-25.613983
480	512	-26.315736
480	512	-27.017488
480	512	-27.719241
480	512	-28.420994
480	512	-29.122746
480	512	-29.824499
480	512	-30.526252
480	512	-31.228004
480	512	-31.929757
450	512	-32.631509
450	512	-33.333262
450	512	-34.035014
450	512	-34.736767
450	512	-35.438519
432	512	-36.140271
432	512	-36.842024
432	512	-37.543776
432	512	-38.245528
432	512	-38.947280
432	512	-39.649033
432	512	-40.350785
405	512	-41.052537
400	512	-41.754289
400	512	-42.456041
400	512	-43.157793
400	512	-43.859545
384	512	-44.561296
384	512	-45.263048
375	512	-45.964800
375	512	-46.666551
375	512	-47.368303
375	512	-48.070054
360	512	-48.771806
360	512	-49.473557
360	512	-50.175308
360	512	-50.877059
360	512	-51.578810
360	512	-52.280561
360	512	-52.982312
324	512	-53.684062
320	512	-54.385813
320	512	-55.087563
320	512	-55.789314
320	512	-56.491064
300	512	-57.192814
300	512	-57.894563
288	512	-58.596313
288	512	-59.298062
288	512	-59.999811
270	512	-60.701560
270	512	-61.403309
256	512	-62.105058
250	512	-62.806806
250	512	-63.508554
240	512	-64.210301
240	512	-64.912048
240	512	-65.613795
225	512	-66.315541
216	512	-67.017287
216	512	-67.719033
216	512	-68.420777
200	512	-69.122522
192	512	-69.824265
192	512	-70.526008
180	512	-71.227750
180	512	-71.929491
180	512	-72.631231
160	512	-73.332970
160	512	-74.034707
150	512	-74.736443
144	512	-75.438177
144	512	-76.139910
128	512	-76.841640
125	512	-77.543367
120	512	-78.245091
120	512	-78.946811
108	512	-79.648527
100	512	-80.350237
90	512	-81.051940
90	512	-81.753635
80	512	-82.455319
72	512	-83.156988
72	512	-83.858638
64	512	-84.560261
60	512	-85.261846
50	512	-85.963372
45	512	-86.664803
40	512	-87.366063
36	512	-88.066972
25	512	-88.766951
18	512	-89.462822
