#
# Gaussian Grid N256
# Each record specifies the number of grid points per row in the gaussian 
# grid and also the latitude value of the row
# 
#
#reduced points	regular points	latitude
18	1024	89.731149
25	1024	89.382874
32	1024	89.032542
40	1024	88.681746
45	1024	88.330774
50	1024	87.979716
60	1024	87.628611
64	1024	87.277476
72	1024	86.926322
72	1024	86.575154
75	1024	86.223977
81	1024	85.872793
90	1024	85.521603
96	1024	85.170409
100	1024	84.819212
108	1024	84.468011
120	1024	84.116809
120	1024	83.765604
125	1024	83.414398
135	1024	83.063191
144	1024	82.711982
150	1024	82.360772
160	1024	82.009562
160	1024	81.658351
180	1024	81.307139
180	1024	80.955926
180	1024	80.604713
192	1024	80.253500
192	1024	79.902286
200	1024	79.551072
216	1024	79.199857
216	1024	78.848642
216	1024	78.497427
225	1024	78.146212
240	1024	77.794996
240	1024	77.443780
243	1024	77.092564
250	1024	76.741348
256	1024	76.390131
270	1024	76.038915
270	1024	75.687698
288	1024	75.336481
288	1024	74.985264
288	1024	74.634047
300	1024	74.282830
300	1024	73.931613
320	1024	73.580395
320	1024	73.229178
320	1024	72.877960
324	1024	72.526743
360	1024	72.175525
360	1024	71.824307
360	1024	71.473089
360	1024	71.121871
360	1024	70.770654
360	1024	70.419436
375	1024	70.068217
375	1024	69.716999
384	1024	69.365781
384	1024	69.014563
400	1024	68.663345
400	1024	68.312127
400	1024	67.960908
432	1024	67.609690
432	1024	67.258472
432	1024	66.907253
432	1024	66.556035
432	1024	66.204816
450	1024	65.853598
450	1024	65.502379
450	1024	65.151161
480	1024	64.799942
480	1024	64.448723
480	1024	64.097505
480	1024	63.746286
480	1024	63.395068
486	1024	63.043849
500	1024	62.692630
500	1024	62.341411
500	1024	61.990193
512	1024	61.638974
512	1024	61.287755
540	1024	60.936536
540	1024	60.585317
540	1024	60.234099
540	1024	59.882880
540	1024	59.531661
576	1024	59.180442
576	1024	58.829223
576	1024	58.478004
576	1024	58.126785
576	1024	57.775566
576	1024	57.424348
600	1024	57.073129
600	1024	56.721910
600	1024	56.370691
600	1024	56.019472
600	1024	55.668253
640	1024	55.317034
640	1024	54.965815
640	1024	54.614596
640	1024	54.263377
640	1024	53.912158
