ATMFAIL
LAND
HIGLINT
HILT
HISATZEN
COASTZ
NEGLW
STRAYLIGHT
CLDICE
COCCOLITH
TURBIDW
HISOLZEN
HITAU
LOWLW
CHLFAIL
NAVWARN
ABSAER
MAXAERITER
MODGLINT
CHLWARN
ATMWARN
DARKPIXEL
SEAICE
NAVFAIL
FILTER
SSTWARN
SSTFAIL
HIPOL
PRODFAIL
OCEAN
