#
# Gaussian Grid N80
# Each record specifies the number of grid points per row in the gaussian 
# grid and also the latitude value of the row
# 
#
#reduced points	regular points	latitude
18	320	89.141519
25	320	88.029429
36	320	86.910771
40	320	85.790629
45	320	84.669924
54	320	83.548947
60	320	82.427818
64	320	81.306595
72	320	80.185310
72	320	79.063982
80	320	77.942624
90	320	76.821243
96	320	75.699844
100	320	74.578432
108	320	73.457008
120	320	72.335576
120	320	71.214136
128	320	70.092690
135	320	68.971240
144	320	67.849784
144	320	66.728326
150	320	65.606864
160	320	64.485399
160	320	63.363932
180	320	62.242462
180	320	61.120991
180	320	59.999518
192	320	58.878044
192	320	57.756569
200	320	56.635092
200	320	55.513614
216	320	54.392135
216	320	53.270655
216	320	52.149175
225	320	51.027694
225	320	49.906212
240	320	48.784729
240	320	47.663246
240	320	46.541763
256	320	45.420279
256	320	44.298794
256	320	43.177309
256	320	42.055824
288	320	40.934338
288	320	39.812852
288	320	38.691366
288	320	37.569880
288	320	36.448393
288	320	35.326906
288	320	34.205418
288	320	33.083931
288	320	31.962443
300	320	30.840955
300	320	29.719467
300	320	28.597979
300	320	27.476491
320	320	26.355002
320	320	25.233514
320	320	24.112025
320	320	22.990536
320	320	21.869047
320	320	20.747558
320	320	19.626069
320	320	18.504580
320	320	17.383091
320	320	16.261601
320	320	15.140112
320	320	14.018622
320	320	12.897133
320	320	11.775643
320	320	10.654153
320	320	9.532664
320	320	8.411174
320	320	7.289684
320	320	6.168194
320	320	5.046704
320	320	3.925215
320	320	2.803725
320	320	1.682235
320	320	0.560745
320	320	-0.560745
320	320	-1.682235
320	320	-2.803725
320	320	-3.925215
320	320	-5.046704
320	320	-6.168194
320	320	-7.289684
320	320	-8.411174
320	320	-9.532664
320	320	-10.654153
320	320	-11.775643
320	320	-12.897133
320	320	-14.018622
320	320	-15.140112
320	320	-16.261601
320	320	-17.383091
320	320	-18.504580
320	320	-19.626069
320	320	-20.747558
320	320	-21.869047
320	320	-22.990536
320	320	-24.112025
320	320	-25.233514
320	320	-26.355002
300	320	-27.476491
300	320	-28.597979
300	320	-29.719467
300	320	-30.840955
288	320	-31.962443
288	320	-33.083931
288	320	-34.205418
288	320	-35.326906
288	320	-36.448393
288	320	-37.569880
288	320	-38.691366
288	320	-39.812852
288	320	-40.934338
256	320	-42.055824
256	320	-43.177309
256	320	-44.298794
256	320	-45.420279
240	320	-46.541763
240	320	-47.663246
240	320	-48.784729
225	320	-49.906212
225	320	-51.027694
216	320	-52.149175
216	320	-53.270655
216	320	-54.392135
200	320	-55.513614
200	320	-56.635092
192	320	-57.756569
192	320	-58.878044
180	320	-59.999518
180	320	-61.120991
180	320	-62.242462
160	320	-63.363932
160	320	-64.485399
150	320	-65.606864
144	320	-66.728326
144	320	-67.849784
135	320	-68.971240
128	320	-70.092690
120	320	-71.214136
120	320	-72.335576
108	320	-73.457008
100	320	-74.578432
96	320	-75.699844
90	320	-76.821243
80	320	-77.942624
72	320	-79.063982
72	320	-80.185310
64	320	-81.306595
60	320	-82.427818
54	320	-83.548947
45	320	-84.669924
40	320	-85.790629
36	320	-86.910771
25	320	-88.029429
18	320	-89.141519
