Name;Description / Use;IPR owner;License;IPR URL;License URL
Jtar;TAR library;jtar;Apache License;https://code.google.com/archive/p/jtar/;https://www.apache.org/licenses/
Jtransforms;Fourier transformations;Piotr Wendykier;BSD-2-Clause;https://sites.google.com/site/piotrwendykier/software/jtransforms;http://opensource.org/licenses/BSD-2-Clause
JTS;Topology Suite;JTS;http://jgridshift.sourceforge.net/;https://sourceforge.net/projects/jts-topo-suite/;NONE
junit;Unit level test support;Junit;Apache License / Eclipse Public License;http://junit.org/;https://github.com/junit-team/junit5/blob/master/LICENSE.md
Jython;Python for Java;Jython;PSF License;NONE;http://www.jython.org/license.html
libsvm;Support Vector Machines;LIBSVM ;BSD 3 Clause;NONE;http://opensource.org/licenses/BSD-3-Clause
lucene;Text search engine library;Apache;The Apache Software License, Version 2.0;https://lucene.apache.org/core/;http://www.apache.org/licenses/LICENSE-2.0.txt
matrix-toolkits-java ;Matrix library;Sam Halliday;LGPLv3;https://gitlab.com/fommil/attic/tree/master/jniloader;http://www.gnu.de/documents/lgpl.de.html
mlibwrapper-jai;NONE;Oracle;Copyright Sun Microsystems.  JAI Licence or JAVA RESEARCH LICENSE;http://www.oracle.com/technetwork/java/readme-1-1-1-142238.html;NONE
mockito;Testing framework;mockito;MIT;http://site.mockito.org/;https://opensource.org/licenses/mit-license.php
netbeans;Application platform;NetBeans;GPLv2 or CDDL;https://netbeans.org/features/platform/index.html;https://netbeans.org/about/legal/product-licences.html
NetCDF-Java;NetCDF IO;Unidata;NetCDF C library license (MIT-style) ;http://www.unidata.ucar.edu/software/netcdf-java/documentation.htm;http://www.unidata.ucar.edu/software/netcdf/copyright.html
netlib;Linear algebra;Sam Halliday;BSD 3 Clause;https://gitlab.com/fommil/attic/tree/master/jniloader;http://opensource.org/licenses/BSD-3-Clause
nujan;NetCDF java writing;NCAR RAL;Modified MIT License;https://ral.ucar.edu/;NONE
Objenesis;Class instantiation;Objenesis;Apache License;http://objenesis.org/;https://www.apache.org/licenses/
olingo;Open Data Protocol;olingo;Apache License;http://olingo.apache.org/;https://www.apache.org/licenses/
oro;Text processing;ORO;Apache License;http://jakarta.apache.org/oro/;https://www.apache.org/licenses/
picocontainer;class instantiation;picocontainer;BSD-2-Clause;http://picocontainer.com/;http://opensource.org/licenses/BSD-2-Clause
powermock;Testing framework;PowerMock;Apache License;http://powermock.github.io/;https://www.apache.org/licenses/
prefuse-core;A toolkit for building interactive information visualization applications;Prefuse;BSD 3-clause;http://prefuse.org/;http://prefuse.org/license-prefuse.txt
protobuf;Protocol Buffers ;Google;BSD 3 Clause;https://github.com/google/protobuf;http://opensource.org/licenses/BSD-3-Clause
quartz;Job scheduler;quartz-scheduler;Apache License;http://www.quartz-scheduler.org/;https://www.apache.org/licenses/
rhino;Java script engine;Rhino;Mozilla Public License;http://www.mozilla.org/rhino/;https://github.com/mozilla/rhino/blob/master/LICENSE.txt
sevenzipjbinding;Compression library;sevenzipjbinding;LGPLv2;http://sevenzipjbind.sourceforge.net/;https://github.com/borisbrodski/sevenzipjbinding/blob/master/License.txt
sl4j;Logging;slf4j;MIT;http://www.slf4j.org/;https://opensource.org/licenses/mit-license.php
stax2-api;Stax2 API is an extension to standard Stax API ('STandard Api for Xml procesing'), pull-parser API of JDK, added in JDK 6.;FasterXML;The BSD License;https://github.com/FasterXML/stax2-api;http://www.opensource.org/licenses/bsd-license.php
swingx;GUI library;SwingX;LGPLv3;https://en.wikipedia.org/wiki/SwingLabs;https://www.gnu.org/licenses/lgpl-3.0.en.html
thumbnailator;Image scaling;Coobird;MIT;https://github.com/coobird/thumbnailator;https://opensource.org/licenses/mit-license.php
trove4j;GNU Trove: High performance collections for Java;Trove4j;GNU Lesser General Public License 2.1;https://bitbucket.org/trove4j/trove;http://www.gnu.org/licenses/lgpl-2.1.txt
udunits;Units support;Unidata;NetCDF C library license (MIT-style) ;https://www.unidata.ucar.edu/software/udunits/;http://www.unidata.ucar.edu/software/netcdf/copyright.html
velocity;Template engine;velocity;Apache License;http://velocity.apache.org/;https://www.apache.org/licenses/
weka-dev;Machine Learning;weka;GPL3;https://www.cs.waikato.ac.nz/ml/weka/index.html;http://www.gnu.org/licenses/gpl-3.0.en.html
werken-xpath;XML handling;werken-xpath;BSD Style;https://sourceforge.net/projects/werken-xpath/;http://hsqldb.org/web/hsqlLicense.html
woodstox;XML handling;woodstox;Apache License or BSD;https://github.com/codehaus/woodstox;NONE
worldwind;Globe visualisation;NASA;NASA OPEN SOURCE AGREEMENT;http://worldwind.arc.nasa.gov/java;https://github.com/NASAWorldWind/WorldWindJava/blob/develop/LICENSE.txt
xerces;XML handling;Xerces;Apache License;http://xerces.apache.org/xerces2-j/;https://www.apache.org/licenses/
xml-apis;XML handling;Apache;Apache 2.0 and W3C;http://xml.apache.org/commons/;http://www.apache.org/licenses/LICENSE-2.0
xml-commons;XML handling;xml-commons;Apache License;http://xerces.apache.org/xml-commons/;https://www.apache.org/licenses/
xmlpull;XML handling;xmlpull;public-domain;http://www.xmlpull.org/;https://en.wikipedia.org/wiki/Public-domain_software
xpp3;XML handling;MXP;Public Domain;http://www.extreme.indiana.edu/xgws/xsoap/xpp/mxp1/;https://mvnrepository.com/artifact/xpp3/xpp3
xsd;XML handling;eclipse xsd;Eclipse Public License;http://www.eclipse.org/modeling/mdt/downloads/?project=xsd;https://projects.eclipse.org/content/eclipse-public-license-1.0
xstream;XML handling;Xstream;BSD License;http://x-stream.github.io/;http://x-stream.github.io/license.html
xz;Data compression;Tukaani;public-domain;http://tukaani.org/xz/java.html;https://en.wikipedia.org/wiki/Public-domain_software
